;;OKSMList
004;Афганистан;Strana_004AfgAfganistanMember
008;Албания;Strana_008AlbAlbaniyaMember
010;Антарктида;Strana_010AtaAntarktidaMember
012;Алжир;Strana_012DzaAlzhirMember
016;Американское Самоа;Strana_016AsmAmerikanskoeSamoaMember
020;Андорра;Strana_020AndAndorraMember
024;Ангола;Strana_024AgoAngolaMember
028;Антигуа И Барбуда;Strana_028AtgAntiguaIBarbudaMember
031;Азербайджан;Strana_031AzeAzerbajdzhanMember
032;Аргентина;Strana_032ArgArgentinaMember
036;Австралия;Strana_036AusAvstraliyaMember
040;Австрия;Strana_040AutAvstriyaMember
044;Багамы;Strana_044BhsBagamyMember
048;Баксрейн;Strana_048BhrBaxrejnMember
050;Бангладеш;Strana_050BgdBangladeshMember
051;Армения;Strana_051ArmArmeniyaMember
052;Барбадос;Strana_052BrbBarbadosMember
056;Белгия;Strana_056BelBelgiyaMember
060;Бермуды;Strana_060BmuBermudyMember
064;Бутан;Strana_064BtnButanMember
068;Боливия Многонацзионалное Государство;Strana_068BolBoliviyaMnogonaczionalnoeGosudarstvoMember
070;Босния И Герцзеговина;Strana_070BihBosniyaIGerczegovinaMember
072;Ботсвана;Strana_072BwaBotsvanaMember
074;Остров Буве;Strana_074BvtOstrovBuveMember
076;Бразилия;Strana_076BraBraziliyaMember
084;Белиз;Strana_084BlzBelizMember
086;Британская Территория В Индийском Океане;Strana_086IotBritanskayaTerritoriyaVIndijskomOkeaneMember
090;Соломоновы Острова;Strana_090SlbSolomonovyOstrovaMember
092;Виргинские Острова Британские;Strana_092VgbVirginskieOstrovaBritanskieMember
096;Бруней Даруссалам;Strana_096BrnBrunejDarussalamMember
100;Болгария;Strana_100BgrBolgariyaMember
104;Мянма;Strana_104MmrMyanmaMember
108;Бурунди;Strana_108BdiBurundiMember
112;Беларус;Strana_112BlrBelarusMember
116;Камбоджа;Strana_116KhmKambodzhaMember
120;Камерун;Strana_120CmrKamerunMember
124;Канада;Strana_124CanKanadaMember
132;Кабо Верде;Strana_132CpvKaboVerdeMember
136;Острова Кайман;Strana_136CymOstrovaKajmanMember
140;Ц Зентрално Африканская Республика;Strana_140CafCZentralnoAfrikanskayaRespublikaMember
144;С Хри Ланка;Strana_144LkaSHriLankaMember
148;Ц Хад;Strana_148TcdCHadMember
152;Ц Хили;Strana_152ChlCHiliMember
156;Китай;Strana_156ChnKitajMember
158;Тайван Китай;Strana_158TwnTajvanKitajMember
162;Остров Рождества;Strana_162CxrOstrovRozhdestvaMember
166;Кокосовые Килинг Острова;Strana_166CckKokosovyeKilingOstrovaMember
170;Колумбия;Strana_170ColKolumbiyaMember
174;Коморы;Strana_174ComKomoryMember
175;Маётта;Strana_175MytMajottaMember
178;Конго;Strana_178CogKongoMember
180;Конго Демократическая Республика;Strana_180CodKongoDemokraticheskayaRespublikaMember
184;Острова Кука;Strana_184CokOstrovaKukaMember
188;Коста Рика;Strana_188CriKostaRikaMember
191;Ксорватия;Strana_191HrvXorvatiyaMember
192;Куба;Strana_192CubKubaMember
196;Кипр;Strana_196CypKiprMember
203;Ц Хешская Республика;Strana_203CzeCHeshskayaRespublikaMember
204;Бенин;Strana_204BenBeninMember
208;Дания;Strana_208DnkDaniyaMember
212;Доминика;Strana_212DmaDominikaMember
214;Доминиканская Республика;Strana_214DomDominikanskayaRespublikaMember
218;Еквадор;Strana_218EcuEkvadorMember
222;Ел Салвадор;Strana_222SlvElSalvadorMember
226;Екваториалная Гвинея;Strana_226GnqEkvatorialnayaGvineyaMember
231;Ефиопия;Strana_231EthEfiopiyaMember
232;Еритрея;Strana_232EriEritreyaMember
233;Естония;Strana_233EstEstoniyaMember
234;Фарерские Острова;Strana_234FroFarerskieOstrovaMember
238;Фолклендские Острова Малвинские;Strana_238FlkFolklendskieOstrovaMalvinskieMember
239;Ы Ужная Джорджия И Ы Ужные Сандвичевы Острова;Strana_239SgsYUzhnayaDzhordzhiyaIYUzhnyeSandvichevyOstrovaMember
242;Фиджи;Strana_242FjiFidzhiMember
246;Финляндия;Strana_246FinFinlyandiyaMember
248;Еландские Острова;Strana_248AlaElandskieOstrovaMember
250;Францзия;Strana_250FraFrancziyaMember
254;Францзузская Гвиана;Strana_254GufFranczuzskayaGvianaMember
258;Францзузская Полинезия;Strana_258PyfFranczuzskayaPolineziyaMember
260;Францзузские Ы Ужные Территории;Strana_260AtfFranczuzskieYUzhnyeTerritoriiMember
262;Джибути;Strana_262DjiDzhibutiMember
266;Габон;Strana_266GabGabonMember
268;Грузия;Strana_268GeoGruziyaMember
270;Гамбия;Strana_270GmbGambiyaMember
275;Палестина Государство;Strana_275PsePalestinaGosudarstvoMember
276;Германия;Strana_276DeuGermaniyaMember
288;Гана;Strana_288GhaGanaMember
292;Гибралтар;Strana_292GibGibraltarMember
296;Кирибати;Strana_296KirKiribatiMember
300;Грецзия;Strana_300GrcGrecziyaMember
304;Гренландия;Strana_304GrlGrenlandiyaMember
308;Гренада;Strana_308GrdGrenadaMember
312;Гваделупа;Strana_312GlpGvadelupaMember
316;Гуам;Strana_316GumGuamMember
320;Гватемала;Strana_320GtmGvatemalaMember
324;Гвинея;Strana_324GinGvineyaMember
328;Гаяна;Strana_328GuyGajanaMember
332;Гаити;Strana_332HtiGaitiMember
334;Остров Ксерд И Острова Макдоналд;Strana_334HmdOstrovXerdIOstrovaMakdonaldMember
336;Папский Престол Государство Город Ватикан;Strana_336VatPapskijPrestolGosudarstvoGorodVatikanMember
340;Гондурас;Strana_340HndGondurasMember
344;Гонконг;Strana_344HkgGonkongMember
348;Венгрия;Strana_348HunVengriyaMember
352;Исландия;Strana_352IslIslandiyaMember
356;Индия;Strana_356IndIndiyaMember
360;Индонезия;Strana_360IdnIndoneziyaMember
364;Иран Исламская Республика;Strana_364IrnIranIslamskayaRespublikaMember
368;Ирак;Strana_368IrqIrakMember
372;Ирландия;Strana_372IrlIrlandiyaMember
376;Израил;Strana_376IsrIzrailMember
380;Италия;Strana_380ItaItaliyaMember
384;Кот Д Ивуар;Strana_384CivKotDIvuarMember
388;Ы Амайка;Strana_388JamYAmajkaMember
392;Ы Апония;Strana_392JpnYAponiyaMember
398;Казаксстан;Strana_398KazKazaxstanMember
400;Иордания;Strana_400JorIordaniyaMember
404;Кения;Strana_404KenKeniyaMember
408;Корея Народно Демократическая Республика;Strana_408PrkKoreyaNarodnoDemokraticheskayaRespublikaMember
410;Корея Республика;Strana_410KorKoreyaRespublikaMember
414;Кувейт;Strana_414KwtKuvejtMember
417;Киргизия;Strana_417KgzKirgiziyaMember
418;Лаосская Народно Демократическая Республика;Strana_418LaoLaosskayaNarodnoDemokraticheskayaRespublikaMember
